Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
BMW,iX3 50 xDrive (MY26),610 km,742 km,108.7 kWh,2360 kg,4.9 sec,178 Wh/km,5,D,225 kW,2000 kg,578 L,€113 /km,"€68,900"
MG,MG4 Electric 64 kWh,360 km,405 km,61.7 kWh,1726 kg,7.9 sec,171 Wh/km,5,C,115 kW,500 kg,363 L,€102 /km,"€39,990"
Mercedes-Benz,CLA 250+,585 km,763 km,85.0 kWh,2055 kg,6.7 sec,145 Wh/km,5,D,235 kW,1500 kg,506 L,€95 /km,"€55,859"
Tesla,Model Y Long Range AWD (Juniper),455 km,535 km,75.0 kWh,2072 kg,4.8 sec,165 Wh/km,5,D,124 kW,1600 kg,971 L,€122 /km,"€52,990"
BMW,iX xDrive40,360 km,388 km,71.0 kWh,2440 kg,6.1 sec,197 Wh/km,5,E,102 kW,2500 kg,500 L,€225 /km,"€77,300"
Fiat,500e Hatchback 42 kWh,235 km,261 km,37.3 kWh,1365 kg,9.0 sec,159 Wh/km,4,B,67 kW,0 kg,185 L,€143 /km,"€34,990"
Tesla,Model Y RWD (Juniper),375 km,438 km,60.0 kWh,2003 kg,5.9 sec,160 Wh/km,5,D,110 kW,1600 kg,971 L,€128 /km,"€45,970"
CUPRA,Born 150 kW - 58 kWh,350 km,375 km,58.0 kWh,1811 kg,7.3 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€110 /km,"€39,370"
Kia,EV3 Long Range,455 km,472 km,78.0 kWh,1885 kg,7.7 sec,171 Wh/km,5,B,105 kW,1000 kg,485 L,€91 /km,"€41,390"
CUPRA,Born 170 kW - 77 kWh,450 km,488 km,77.0 kWh,1946 kg,7.0 sec,171 Wh/km,4,C,115 kW,0 kg,385 L,€103 /km,"€46,450"
Tesla,Model 3 Long Range RWD (Highland),580 km,688 km,79.0 kWh,1822 kg,5.2 sec,136 Wh/km,5,D,120 kW,1000 kg,682 L,€83 /km,"€45,970"
Tesla,Model 3 RWD (Highland CATL LFP64),440 km,520 km,60.0 kWh,1836 kg,6.1 sec,136 Wh/km,5,D,110 kW,1000 kg,682 L,€96 /km,"€40,970"
Tesla,Model 3 Standard Range Plus,320 km,389 km,49.0 kWh,1684 kg,5.6 sec,153 Wh/km,5,D,105 kW,1000 kg,542 L,€149 /km,"€46,380"
Renault,5 E-Tech 52kWh 150hp,335 km,348 km,52.0 kWh,1504 kg,8.0 sec,155 Wh/km,5,B,70 kW,500 kg,326 L,€93 /km,"€32,900"
BYD,ATTO 3 (MY23-24),330 km,325 km,60.5 kWh,1825 kg,7.3 sec,183 Wh/km,5,C,71 kW,0 kg,440 L,€122 /km,"€37,990"
BYD,SEALION 7 91.3 kWh AWD Excellence,440 km,502 km,91.3 kWh,2510 kg,4.5 sec,208 Wh/km,5,D,165 kW,1500 kg,578 L,€140 /km,"€58,990"
Renault,Twingo E-Tech 27.5 kWh,190 km,193 km,27.5 kWh,1200 kg,12.1 sec,145 Wh/km,5,A,40 kW,0 kg,360 L,€105 /km,"* €19,000"
